Date,Close,Volume
1490,21.312,3613737.0
1491,23.451,4791752.0
1492,22.557,476910112.0
1493,22.79,158438560.0
1494,22.596,114110624.0
1495,23.257,171345776.0
1496,25.59,265039312.0
1497,26.251,343915616.0
1498,26.329,201006896.0
1499,25.59,190251904.0
1500,25.59,197577104.0
1501,25.824,152059392.0
1502,25.435,204565328.0
1503,26.096,164721008.0
1504,28.313,354735232.0
1505,28.74,235137456.0
1506,28.74,0.0
1507,29.052,312811872.0
1508,30.179,378470656.0
1509,29.168,269662208.0
1510,29.168,0.0
1511,28.468,201285232.0
1512,28.468,0.0
1513,27.029,17890690.0
1514,25.668,40959600.0
1515,26.951,218255504.0
1516,26.951,0.0
1517,26.951,0.0
1518,26.951,0.0
1519,28.313,17926848.0
1520,29.09,435793504.0
1521,30.529,282968128.0
1522,32.046,296361248.0
1523,33.641,303776736.0
1524,35.313,209740768.0
1525,37.063,125514448.0
1526,35.235,560601150.0
1527,35.235,0.0
1528,34.302,356392800.0
1529,33.524,252274256.0
1530,31.852,131432600.0
1531,31.852,0.0
1532,30.257,19738638.0
1533,28.74,2634535.0
1534,27.301,2944188.0
1535,25.94,297181088.0
1536,25.318,256479856.0
1537,26.601,216154640.0
1538,26.096,235067584.0
1539,24.968,191652000.0
1540,26.213,169064336.0
1541,25.668,163492992.0
1542,24.424,155459328.0
1543,25.279,131077120.0
1544,26.563,146646320.0
1545,25.24,133693728.0
1546,24.501,106834496.0
1547,23.296,78969464.0
1548,22.129,61423096.0
1549,21.04,10280623.0
1550,21.429,121203176.0
1551,20.34,78452816.0
1552,19.329,72975216.0
1553,18.357,47060824.0
1554,19.29,87197576.0
1555,19.251,65115852.0
1556,20.223,79474256.0
1557,20.534,105047136.0
1558,21.118,93333800.0
1559,20.068,60962440.0
1560,19.912,29001582.0
1561,20.107,25194752.0
1562,19.368,32296106.0
1563,18.395,40839304.0
1564,19.057,29006616.0
1565,18.94,27928254.0
1566,19.873,64124648.0
1567,20.34,53844504.0
1568,20.884,63579044.0
1569,20.69,62238544.0
1570,21.273,43090368.0
1571,22.051,70759120.0
1572,22.168,64776324.0
1573,23.296,47611724.0
1574,23.84,121165400.0
1575,22.635,95680024.0
1576,23.14,65879368.0
1577,22.712,50547200.0
1578,23.84,88997864.0
1579,25.046,144855184.0
1580,25.124,121798520.0
1581,26.368,103943952.0
1582,27.69,149552640.0
1583,29.09,166120864.0
1584,29.09,0.0
1585,29.09,0.0
1586,29.09,0.0
1587,29.09,0.0
1588,29.09,0.0
